food-id	pubchem-id	references
Plant ID:49390	12795736.0	KNAPSACK
Plant ID:49390	2519.0	KNAPSACK
Plant ID:49390	5315600.0	PHENOL EXPLORER
Plant ID:49390	3080632.0	KNAPSACK
Plant ID:49390	286499.0	KNAPSACK
Plant ID:49390	5281780.0	PHENOL EXPLORER; KNAPSACK
Plant ID:49390	6474310.0	PHENOL EXPLORER
Plant ID:49390	6474309.0	PHENOL EXPLORER
Plant ID:41241	6322.0	DTU
Plant ID:41241	5460584.0	DTU; DUKE
Plant ID:41241	271.0	DTU; DUKE
Plant ID:41241	22833652.0	DUKE
Plant ID:41241	6477032.0	KNAPSACK
Plant ID:41241	8418.0	DUKE
Plant ID:16719	5280343.0	DUKE
Plant ID:16719	5280450.0	DUKE
Plant ID:16719	5280450.0	DUKE
Plant ID:16719	6322.0	USDA; DUKE
Plant ID:16719	5460584.0	USDA; DUKE
Plant ID:16719	271.0	USDA; DUKE
Plant ID:16719	27099.0	USDA; DUKE
Plant ID:16719	6037.0	USDA
Plant ID:16719	750.0	USDA; DUKE
Plant ID:16719	985.0	USDA; DUKE
Plant ID:16719	27284.0	USDA; DUKE
Plant ID:16719	5950.0	USDA; DUKE
Plant ID:16719	644104.0	USDA; DUKE
Plant ID:16719	5960.0	USDA; DUKE
Plant ID:16719	67678.0	USDA; DUKE
Plant ID:16719	33032.0	USDA; DUKE
Plant ID:16719	6274.0	USDA; DUKE
Plant ID:16719	6306.0	USDA; DUKE
Plant ID:16719	6106.0	USDA; DUKE
Plant ID:16719	5962.0	USDA; DUKE
Plant ID:16719	6137.0	USDA; DUKE
Plant ID:16719	6140.0	USDA; DUKE
Plant ID:16719	145742.0	USDA; DUKE
Plant ID:16719	5951.0	USDA; DUKE
Plant ID:16719	6288.0	USDA; DUKE
Plant ID:16719	6305.0	USDA; DUKE
Plant ID:16719	6057.0	USDA; DUKE
Plant ID:16719	6287.0	USDA; DUKE
Plant ID:16719	888.0	USDA; DUKE
Plant ID:16719	27854.0	USDA; DUKE
Plant ID:16719	5281672.0	DUKE
Plant ID:16719	934.0	DUKE
Plant ID:16719	938.0	USDA; DUKE
Plant ID:16719	5281.0	USDA; DUKE
Plant ID:16719	5462309.0	USDA; DUKE
Plant ID:16719	813.0	USDA; DUKE
Plant ID:16719	1054.0	USDA
Plant ID:16719	445354.0	USDA
Plant ID:16719	493570.0	USDA; DUKE
Plant ID:16719	923.0	USDA; DUKE
Plant ID:16719	962.0	USDA; DUKE
Plant ID:16719	32051.0	USDA; DUKE
Plant ID:16719	5280934.0	USDA; DUKE
Plant ID:16719	5280489.0	USDA; DUKE
Plant ID:16719	8468.0	DUKE
Plant ID:16719	247.0	USDA
Plant ID:16719	22833652.0	DUKE
Plant ID:16719	305.0	USDA
Plant ID:16719	439709.0	USDA
Plant ID:16719	5793.0	USDA
Plant ID:16719	807.0	DUKE
Plant ID:16719	5280483.0	USDA
Plant ID:16719	72.0	DUKE
Plant ID:16719	107674.0	USDA; DUKE
Plant ID:16719	5988.0	USDA
Plant ID:16719	1130.0	USDA
Plant ID:16719	1130.0	DUKE
Plant ID:16719	14985.0	USDA
Plant ID:16719	222284.0	USDA; DUKE
Plant ID:16719	92094.0	USDA
Plant ID:16719	14986.0	USDA; DUKE
Plant ID:16719	27668.0	DUKE
Plant ID:16719	104894.0	DUKE
Plant ID:16719	73963.0	DUKE
Plant ID:16719	370.0	DUKE
Plant ID:16719	4532223.0	DUKE
Plant ID:16719	5352426.0	DUKE
Plant ID:16719	23964.0	DUKE
Plant ID:16719	23990.0	DUKE
Plant ID:16719	135.0	DUKE
Plant ID:16719	104727.0	DUKE
Plant ID:16719	104734.0	DUKE
Plant ID:16719	104810.0	DUKE
Plant ID:16719	5462311.0	DUKE
Plant ID:16719	24408.0	DUKE
Plant ID:16719	31193.0	DUKE
Plant ID:16719	1549111.0	DUKE
Plant ID:16719	26623.0	DUKE
Plant ID:16719	185498.0	DUKE
Plant ID:16719	445639.0	DUKE
Plant ID:16719	105153.0	DUKE
Plant ID:16719	4082203.0	DUKE
Plant ID:16719	5280794.0	USDA; DUKE
Plant ID:16719	104798.0	DUKE
Plant ID:16719	114942.0	DUKE
Plant ID:16719	5354618.0	DUKE
Plant ID:16719	104729.0	DUKE
Plant ID:16719	23986.0	DUKE
Plant ID:16719	23926.0	DUKE
Plant ID:16719	23989.0	DUKE
Plant ID:16719	5283637.0	USDA; DUKE
Plant ID:16719	445638.0	DUKE
Plant ID:16719	240.0	DUKE
Plant ID:16719	159371.0	DUKE
Plant ID:16719	28179.0	DUKE
Plant ID:16719	114945.0	DUKE
Plant ID:16719	6184.0	DUKE
Plant ID:16719	73212.0	DUKE
Plant ID:16719	22311.0	DUKE
Plant ID:16719	185495.0	DUKE
Plant ID:16719	159425.0	DUKE
Plant ID:16719	23952.0	DUKE
Plant ID:16719	6276.0	DUKE
Plant ID:16719	5202.0	DUKE
Plant ID:16719	6989.0	DUKE
Plant ID:16719	10364.0	DUKE
Plant ID:16719	637566.0	DUKE
Plant ID:16719	11006.0	DUKE
Plant ID:16719	10742.0	DUKE
Plant ID:16719	1140.0	DUKE
Plant ID:16719	14257.0	DUKE
Plant ID:16719	8129.0	DUKE
Plant ID:16719	8129.0	DUKE
Plant ID:16719	8103.0	DUKE
Plant ID:16719	8103.0	DUKE
Plant ID:16719	5282768.0	DUKE
Plant ID:16719	10465.0	DUKE
Plant ID:16719	24764.0	DUKE
Plant ID:16719	890.0	DUKE
Plant ID:16719	5281855.0	DUKE
Plant ID:16719	6054.0	DUKE
Plant ID:16719	999.0	DUKE
Plant ID:16719	931.0	DUKE
Plant ID:16719	244.0	DUKE
Plant ID:16719	8182.0	DUKE
Plant ID:16719	5282757.0	DUKE
Plant ID:16719	12388.0	DUKE
Plant ID:16719	7500.0	DUKE
Plant ID:16719	8063.0	DUKE
Plant ID:16719	5281167.0	DUKE
Plant ID:16719	5352000.0	DUKE
Plant ID:16719	73571.0	DUKE
Plant ID:16719	28425.0	DUKE
Plant ID:16719	10205.0	DUKE
Plant ID:16719	10686.0	DUKE
Plant ID:16719	10686.0	DUKE
Plant ID:16719	8530.0	DUKE
Plant ID:16719	8530.0	DUKE
Plant ID:16719	7002.0	DUKE
Plant ID:16719	19773.0	DUKE
Plant ID:16719	69600.0	DUKE
Plant ID:16719	110848.0	DUKE
Plant ID:16719	521567.0	DUKE
Plant ID:16719	14524443.0	KNAPSACK
Plant ID:16719	16898.0	DUKE
Plant ID:16719	3806.0	DUKE; KNAPSACK
Plant ID:16719	7005.0	DUKE
Plant ID:16719	348162.0	DUKE
Plant ID:16719	5280802.0	DUKE; KNAPSACK
Plant ID:16719	6850715.0	DUKE
Plant ID:16719	1348547.0	DUKE
Plant ID:33125	5280450.0	DTU; DUKE
Plant ID:33125	5280450.0	DTU; DUKE
Plant ID:33125	6322.0	DTU
Plant ID:33125	6322.0	DTU
Plant ID:33125	5460584.0	DTU; USDA; DUKE
Plant ID:33125	5460584.0	DTU; USDA; DUKE
Plant ID:33125	271.0	DTU; USDA; DUKE
Plant ID:33125	27099.0	DTU; USDA
Plant ID:33125	6037.0	DTU; USDA
Plant ID:33125	750.0	DTU
Plant ID:33125	985.0	DTU; USDA; DUKE
Plant ID:33125	27284.0	DTU; USDA; DUKE
Plant ID:33125	5280863.0	PHENOL EXPLORER
Plant ID:33125	5950.0	DTU
Plant ID:33125	644104.0	DTU; USDA; DUKE
Plant ID:33125	5960.0	DTU
Plant ID:33125	67678.0	DTU
Plant ID:33125	33032.0	DTU
Plant ID:33125	6274.0	DTU
Plant ID:33125	6306.0	DTU
Plant ID:33125	6106.0	DTU
Plant ID:33125	5962.0	DTU
Plant ID:33125	6137.0	DTU
Plant ID:33125	6140.0	DTU
Plant ID:33125	145742.0	DTU
Plant ID:33125	5951.0	DTU
Plant ID:33125	6288.0	DTU
Plant ID:33125	6305.0	DTU
Plant ID:33125	6057.0	DTU
Plant ID:33125	6287.0	DTU
Plant ID:33125	888.0	DTU; USDA
Plant ID:33125	27854.0	DTU; USDA
Plant ID:33125	934.0	DTU; DUKE
Plant ID:33125	938.0	DTU; USDA; DUKE
Plant ID:33125	5281.0	DTU; USDA; DUKE
Plant ID:33125	5462309.0	DTU; USDA; DUKE
Plant ID:33125	813.0	DTU; USDA; DUKE
Plant ID:33125	1054.0	DTU; USDA; DUKE
