pmid	food-id	disease-id	association
28452959	Plant ID:22663	MESH:D063646	Positive
7699353	Plant ID:4097	MESH:D000031	Negative
7699353	Plant ID:4097	MESH:D000031	Negative
7701845	Plant ID:4097	MESH:D014777	Negative
16987414	Plant ID:183298	MESH:D009202	Positive
16999030	Plant ID:555479	MESH:D003925	Positive
16999030	Plant ID:555479	MESH:D003920	Positive
17005373	Plant ID:3483	MESH:D011605	Negative
17009838	Plant ID:49992	MESH:D001991	Positive
17009838	Plant ID:49992	MESH:D001991	Positive
21586620	Plant ID:4097	MESH:D063646	Negative
21586620	Plant ID:4097	MESH:D001749	Negative
21591990	Plant ID:4054	MESH:D002318	Positive
21593591	Plant ID:3483	MESH:D009369	Positive
21596068	Plant ID:65409	MESH:D009369	Positive
21596068	Plant ID:65409	MESH:D010190	Positive
21596068	Plant ID:65409	MESH:D010190	Positive
21597196	Plant ID:57577	MESH:D008545	Positive
21609336	Plant ID:4081	MESH:D064420	Positive
21609336	Plant ID:4081	MESH:D064420	Positive
2605049	Plant ID:4097	MESH:D010024	Negative
29055172	Plant ID:94328	MESH:D009369	Positive
29055172	Plant ID:94328	MESH:D001943	Positive
26981602	Plant ID:4097	MESH:D009369	Negative
26981882	Plant ID:3906	MESH:D000743	Negative
26988472	Plant ID:3760	MESH:D011023	Positive
26989496	Plant ID:124943	MESH:D003048	Positive
26989496	Plant ID:587579	MESH:D003048	Positive
26989496	Plant ID:587579	MESH:D003048	Positive
26989496	Plant ID:124943	MESH:D003048	Positive
26989716	Plant ID:3559	MESH:D004342	Negative
26991068	Plant ID:58944	MESH:D009369	Positive
18008167	Plant ID:35608	MESH:D008288	Positive
18023427	Plant ID:3712	MESH:D001943	Positive
18023427	Plant ID:3712	MESH:D001943	Positive
18023427	Plant ID:3712	MESH:D001943	Positive
18030661	Plant ID:183260	MESH:D050197	Positive
18030661	Plant ID:183260	MESH:D050197	Positive
21912172	Plant ID:3818	MESH:D004342	Negative
21912172	Plant ID:3818	MESH:D004342	Negative
21916706	Plant ID:4682	MESH:D015179	Positive
19671936	Plant ID:3755	MESH:D005512	Negative
19671936	Plant ID:3755	MESH:D004342	Negative
19671936	Plant ID:3755	MESH:D005512	Negative
19671936	Plant ID:3755	MESH:D004342	Negative
19691920	Plant ID:55513	MESH:D002318	Positive
19695684	Plant ID:4097	MESH:D003643	Negative
19695684	Plant ID:4097	MESH:D008175	Negative
19695871	Plant ID:3747	MESH:D006943	Positive
19695871	Plant ID:3747	MESH:D003920	Positive
19695871	Plant ID:3747	MESH:D006973	Positive
28829155	Plant ID:126910	MESH:D013959	Positive
28829155	Plant ID:126910	MESH:D013959	Positive
28829155	Plant ID:126910	MESH:D007037	Positive
28829355	Plant ID:38851	MESH:D015835	Positive
22166376	Plant ID:4054	MESH:D008569	Positive
22168545	Plant ID:72368	MESH:D064420	Positive
22169919	Plant ID:3641	MESH:D003324	Positive
22169919	Plant ID:3641	MESH:D009203	Positive
22172987	Plant ID:4682	MESH:D066126	Positive
15811563	Plant ID:3311	MESH:D001791	Positive
15822722	Plant ID:4097	MESH:D003643	Negative
15822722	Plant ID:4097	MESH:D003643	Negative
15824161	Plant ID:4097	MESH:D063646	Negative
15824161	Plant ID:4097	MESH:D009422	Negative
15827387	Plant ID:3559	MESH:D006255	Negative
15827387	Plant ID:3559	MESH:D006255	Negative
26255139	Plant ID:126910	MESH:D009369	Positive
26268332	Plant ID:3311	MESH:D003072	Positive
26268332	Plant ID:3311	MESH:D000544	Positive
26268332	Plant ID:3311	MESH:D003072	Positive
26268332	Plant ID:3311	MESH:D000544	Positive
26268332	Plant ID:3311	MESH:D003072	Positive
26268332	Plant ID:3311	MESH:D000544	Positive
26269672	Plant ID:4530	MESH:D015179	Positive
26272214	Plant ID:49666	MESH:D009369	Positive
28197528	Plant ID:183260	MESH:D012878	Positive
28197528	Plant ID:183260	MESH:D063646	Positive
21780550	Plant ID:3735	MESH:D006943	Positive
21780550	Plant ID:3735	MESH:D006949	Positive
21782201	Plant ID:65561	MESH:D003866	Positive
21782922	Plant ID:105884	MESH:D001168	Positive
21782922	Plant ID:105884	MESH:D001168	Positive
21785655	Plant ID:3906	MESH:D006461	Negative
21785655	Plant ID:78534	MESH:D003920	Positive
21792366	Plant ID:4682	MESH:D058065	Positive
21792366	Plant ID:4682	MESH:D006984	Positive
21802929	Plant ID:3311	MESH:D006470	Negative
17176220	Plant ID:3847	MESH:D009369	Positive
17194898	Plant ID:4577	MESH:D009369	Negative
17194898	Plant ID:4577	MESH:D009369	Negative
17194898	Plant ID:4577	MESH:D003110	Negative
17195561	Plant ID:4097	MESH:D012878	Negative
17195561	Plant ID:4097	MESH:D012878	Negative
28798681	Plant ID:4045	MESH:D009410	Positive
28798681	Plant ID:4045	MESH:D007249	Positive
28798681	Plant ID:4045	MESH:D008569	Positive
26958029	Plant ID:159033	MESH:D008288	Positive
28161542	Plant ID:74613	MESH:D006973	Positive
16265155	Plant ID:4565	MESH:D002446	Negative
16265155	Plant ID:4513	MESH:D002446	Negative
16265155	Plant ID:4550	MESH:D002446	Negative
16265994	Plant ID:4054	MESH:D051437	Positive
16266817	Plant ID:4097	MESH:D018307	Negative
27649130	Plant ID:210328	MESH:D009443	Positive
27649130	Plant ID:210328	MESH:D007249	Positive
14980010	Plant ID:71251	MESH:D004194	Positive
14980010	Plant ID:71251	MESH:D009369	Positive
24949677	Plant ID:3750	MESH:D020301	Positive
24949677	Plant ID:3750	MESH:D020301	Positive
14649969	Plant ID:94328	MESH:D009325	Positive
14649969	Plant ID:94328	MESH:D014839	Positive
14649969	Plant ID:94328	MESH:D009325	Positive
14649969	Plant ID:94328	MESH:D014839	Positive
14654321	Plant ID:3888	MESH:D007842	Negative
14654321	Plant ID:3888	MESH:D020336	Negative
14654321	Plant ID:3860	MESH:D007842	Negative
14654321	Plant ID:3860	MESH:D020336	Negative
14655905	Plant ID:4097	MESH:D009369	Negative
14656947	Plant ID:3847	MESH:D011471	Negative
14665633	Plant ID:3750	MESH:D009369	Positive
14665633	Plant ID:3750	MESH:D012878	Positive
14665633	Plant ID:3750	MESH:D009369	Positive
14665633	Plant ID:3750	MESH:D063646	Positive
14665633	Plant ID:3750	MESH:D009369	Positive
14665633	Plant ID:3750	MESH:D063646	Positive
27940486	Plant ID:4097	MESH:D010300	Negative
25926860	Plant ID:4679	MESH:D014652	Positive
25926860	Plant ID:4679	MESH:D050197	Positive
25932204	Plant ID:92921	MESH:D056486	Positive
25940980	Plant ID:4682	MESH:D009369	Positive
25940980	Plant ID:4682	MESH:D013927	Positive
25940980	Plant ID:4682	MESH:D002318	Positive
25949956	Plant ID:3711	MESH:D003920	Positive
28036090	Plant ID:4265	MESH:D001523	Positive
28036090	Plant ID:4265	MESH:D001943	Positive
14702580	Plant ID:4722	MESH:D001745	Negative
14713755	Plant ID:4081	MESH:D011471	Positive
14713755	Plant ID:4081	MESH:D011471	Positive
14713921	Plant ID:3847	MESH:D005512	Negative
20140273	Plant ID:38859	MESH:D005334	Positive
25617026	Plant ID:145745	MESH:D014987	Positive
28494178	Plant ID:25629	MESH:D066126	Negative
28494178	Plant ID:25629	MESH:D001145	Negative
12166328	Plant ID:37565	MESH:D014202	Negative
12166328	Plant ID:37565	MESH:D004417	Negative
12166328	Plant ID:37565	MESH:D001259	Negative
12166328	Plant ID:37565	MESH:D001259	Negative
12166328	Plant ID:37565	MESH:D003643	Negative
12452606	Plant ID:1053409	MESH:D053040	Positive
23364269	Plant ID:4097	MESH:D002908	Negative
16628139	Plant ID:43166	MESH:D015431	Positive
