pubchem-id	disease-id
6037.0	MESH:D020521
6037.0	MESH:D003924
6037.0	MESH:D006261
6037.0	MESH:D000370
6037.0	MESH:D011297
6037.0	MESH:D013921
6037.0	MESH:D016889
6037.0	MESH:D002292
6037.0	MESH:D001927
6037.0	MESH:D013118
6037.0	MESH:D001925
6037.0	MESH:D005235
6037.0	MESH:D002524
6037.0	MESH:D003072
6037.0	MESH:D009135
6037.0	MESH:D010018
6037.0	MESH:D012559
6037.0	MESH:D012871
6037.0	MESH:D016778
6037.0	MESH:D000014
6037.0	MESH:D000748
6037.0	MESH:D008545
6037.0	MESH:D006402
6037.0	MESH:D000757
6037.0	MESH:D001714
6037.0	MESH:D000544
985.0	MESH:D016778
5280863.0	MESH:D006943
5280863.0	MESH:D009202
5280863.0	MESH:D050197
5280863.0	MESH:D001943
5280863.0	MESH:D010024
5280863.0	MESH:D002318
5280863.0	MESH:D002471
67678.0	MESH:D012480
6137.0	MESH:D007249
6137.0	MESH:D006505
6137.0	MESH:D007669
6137.0	MESH:D011041
6137.0	MESH:D020335
6137.0	MESH:D008106
6137.0	MESH:D008661
6137.0	MESH:D056486
6137.0	MESH:D019970
6137.0	MESH:D005910
6137.0	MESH:D034381
6137.0	MESH:D012640
6137.0	MESH:D016136
6137.0	MESH:D013118
6137.0	MESH:D065626
6137.0	MESH:D015431
6137.0	MESH:D003711
6137.0	MESH:D005235
6137.0	MESH:D005327
6137.0	MESH:D006528
5281672.0	MESH:D005909
5281672.0	MESH:D009336
5281672.0	MESH:D009393
5281672.0	MESH:D009203
5281672.0	MESH:D002471
938.0	MESH:D003327
938.0	MESH:D006973
938.0	MESH:D002546
938.0	MESH:D007003
938.0	MESH:D001943
938.0	MESH:D007662
938.0	MESH:D055370
938.0	MESH:D009127
938.0	MESH:D003920
938.0	MESH:D007676
938.0	MESH:D009369
938.0	MESH:D005923
938.0	MESH:D006938
938.0	MESH:D007009
938.0	MESH:D011014
938.0	MESH:D011507
938.0	MESH:D006937
938.0	MESH:D050197
938.0	MESH:D002386
938.0	MESH:D006950
938.0	MESH:D000749
938.0	MESH:D006954
938.0	MESH:D020244
938.0	MESH:D014947
938.0	MESH:D050171
938.0	MESH:D006949
938.0	MESH:D015228
938.0	MESH:D024821
938.0	MESH:D002318
938.0	MESH:D008060
938.0	MESH:D001161
938.0	MESH:D006952
938.0	MESH:D023921
938.0	MESH:D052456
938.0	MESH:D002971
938.0	MESH:D020521
