common-names	food-name	food-id	food-category	scientific-name	tax-id
	Eucalyptus viminalis	Plant ID:155764	Miscellaneous	Eucalyptus viminalis	155764.0
	Cirsium lineare	Plant ID:196725	Miscellaneous	Cirsium lineare	196725.0
sisal	Sisal	Plant ID:442491	Miscellaneous	Agave sisalana	442491.0
venus thistle; cobwebby thistle	Venus thistle	Plant ID:196732	Miscellaneous	Cirsium occidentale	196732.0
	Ulmus macrocarpa	Plant ID:1043716	Miscellaneous	Ulmus macrocarpa	1043716.0
	Castanopsis cuspidata	Plant ID:114816	Miscellaneous	Castanopsis cuspidata	114816.0
	Gladiolus cruentus	Plant ID:1007749	Miscellaneous	Gladiolus cruentus	1007749.0
	Calligonum aphyllum	Plant ID:655494	Miscellaneous	Calligonum aphyllum	655494.0
annual wallrocket	Annual wallrocket	Plant ID:360583	Miscellaneous	Diplotaxis muralis	360583.0
	Gladiolus dalenii	Plant ID:1007752	Miscellaneous	Gladiolus dalenii	1007752.0
	Vaccinium hirtum	Plant ID:180760	Miscellaneous	Vaccinium hirtum	180760.0
	Prunus alabamensis	Plant ID:983178	Miscellaneous	Prunus alabamensis	983178.0
	Triteleia laxa	Plant ID:167735	Miscellaneous	Triteleia laxa	167735.0
	Akebia x pentaphylla	Plant ID:1351823	Miscellaneous	Akebia x pentaphylla	1351823.0
	Prunus consociiflora	Plant ID:983184	Miscellaneous	Prunus consociiflora	983184.0
boneset; common comfrey; slippery root	Boneset	Plant ID:278672	Miscellaneous	Symphytum officinale	278672.0
	Calandrinia balonensis	Plant ID:860307	Miscellaneous	Calandrinia balonensis	860307.0
monk's rhubarb	Monk's rhubarb	Plant ID:1351827	Miscellaneous	Rumex alpinus	1351827.0
	Calandrinia polyandra	Plant ID:860310	Miscellaneous	Calandrinia polyandra	860310.0
	Prunus orthosepala	Plant ID:983193	Miscellaneous	Prunus orthosepala	983193.0
	Lespedeza juncea	Plant ID:688283	Miscellaneous	Lespedeza juncea	688283.0
	Prunus pedunculata	Plant ID:983195	Miscellaneous	Prunus pedunculata	983195.0
	Vaccinium nummularia	Plant ID:180764	Miscellaneous	Vaccinium nummularia	180764.0
	Cirsium eriophorum	Plant ID:688286	Miscellaneous	Cirsium eriophorum	688286.0
wahoo elm; winged elm	Wahoo elm	Plant ID:24736	Miscellaneous	Ulmus alata	24736.0
cherimoya; chirimoya; custard apple	Cherimoya	Plant ID:49314	Miscellaneous	Annona cherimola	49314.0
wu wei zi; magnolia vine	Wu wei zi	Plant ID:50507	Fruit	Schisandra chinensis	50507.0
	Eryngium campestre	Plant ID:82086	Miscellaneous	Eryngium campestre	82086.0
indian hemp; kenaf; bimli jute	Indian hemp	Plant ID:229543	Miscellaneous	Hibiscus cannabinus	229543.0
	Athyrium yokoscense	Plant ID:65704	Miscellaneous	Athyrium yokoscense	65704.0
sweet brome; california brome	Sweet brome	Plant ID:254121	Miscellaneous	Bromus carinatus	254121.0
	Rhamnus japonica	Plant ID:860326	Miscellaneous	Rhamnus japonica	860326.0
	Hydrocotyle vulgaris	Plant ID:82091	Miscellaneous	Hydrocotyle vulgaris	82091.0
	Terminalia arjuna	Plant ID:172200	Nuts & Seeds	Terminalia arjuna	172200.0
	Meum athamanticum	Plant ID:82093	Miscellaneous	Meum athamanticum	82093.0
	Sanicula rubriflora	Plant ID:82094	Miscellaneous	Sanicula rubriflora	82094.0
	Aralia elata	Plant ID:82095	Vegetable	Aralia elata	82095.0
	Eleutherococcus senticosus	Plant ID:82096	Herbs and Spices	Eleutherococcus senticosus	82096.0
lady's mantle	Lady's mantle	Plant ID:1155249	Miscellaneous	Alchemilla xanthochlora	1155249.0
saw greenbrier	Saw greenbrier	Plant ID:50510	Miscellaneous	Smilax bona-nox	50510.0
	Anisocampium niponicum	Plant ID:65715	Miscellaneous	Anisocampium niponicum	65715.0
	Ranunculus sceleratus	Plant ID:147635	Miscellaneous	Ranunculus sceleratus	147635.0
	Heracleum persicum	Plant ID:360621	Miscellaneous	Heracleum persicum	360621.0
	Lavandula x intermedia	Plant ID:1196215	Miscellaneous	Lavandula x intermedia	1196215.0
western bromegras; western bromegra; western bromegrass; mountain brome	Western bromegras	Plant ID:254138	Miscellaneous	Bromus marginatus	254138.0
	Chrysosplenium oppositifolium	Plant ID:1155259	Miscellaneous	Chrysosplenium oppositifolium	1155259.0
	Cirsium tuberosum	Plant ID:1155261	Miscellaneous	Cirsium tuberosum	1155261.0
	Zanthoxylum planispinum	Plant ID:1196222	Miscellaneous	Zanthoxylum planispinum	1196222.0
	Rumex alpestris	Plant ID:565439	Miscellaneous	Rumex alpestris	565439.0
	Vaccinium hirsutum	Plant ID:190540	Miscellaneous	Vaccinium hirsutum	190540.0
	Paliurus spina-christi	Plant ID:106693	Miscellaneous	Paliurus spina-christi	106693.0
	Picea orientalis	Plant ID:224734	Miscellaneous	Picea orientalis	224734.0
	Ranunculus japonicus	Plant ID:286919	Miscellaneous	Ranunculus japonicus	286919.0
german chamomile	German chamomile	Plant ID:98504	Medicinal	Matricaria chamomilla	98504.0
	Ranunculus kochii	Plant ID:286920	Miscellaneous	Ranunculus kochii	286920.0
	Vaccinium membranaceum	Plant ID:190542	Miscellaneous	Vaccinium membranaceum	190542.0
	Vaccinium oldhamii	Plant ID:190543	Miscellaneous	Vaccinium oldhamii	190543.0
	Rhamnella franguloides	Plant ID:106704	Miscellaneous	Rhamnella franguloides	106704.0
	Viburnum betulifolium	Plant ID:224736	Miscellaneous	Viburnum betulifolium	224736.0
rapini; broccoletto; ruvo kale; broccoli raab	Rapini	Plant ID:1204434	Miscellaneous	Brassica rapa Broccoletto Group	1204434.0
rhodesian teak	Rhodesian teak	Plant ID:327896	Miscellaneous	Baikiaea plurijuga	327896.0
brazilian copaiba	Brazilian copaiba	Plant ID:327897	Miscellaneous	Copaifera multijuga	327897.0
	Vaccinium praestans	Plant ID:190545	Miscellaneous	Vaccinium praestans	190545.0
	Copaifera coriacea	Plant ID:327900	Miscellaneous	Copaifera coriacea	327900.0
mulga	Mulga	Plant ID:205021	Miscellaneous	Acacia aneura	205021.0
	Staphylea bumalda	Plant ID:1048799	Miscellaneous	Staphylea bumalda	1048799.0
	Acacia auriculiformis	Plant ID:205027	Miscellaneous	Acacia auriculiformis	205027.0
	Leptospermum scoparium	Plant ID:295139	Miscellaneous	Leptospermum scoparium	295139.0
liquorice root	Liquorice root	Plant ID:57576	Miscellaneous	Hedysarum alpinum	57576.0
balsam fir	Balsam fir	Plant ID:90345	Miscellaneous	Abies balsamea	90345.0
	Tilia cordata	Plant ID:172266	Miscellaneous	Tilia cordata	172266.0
	Gladiolus unguiculatus	Plant ID:1007850	Miscellaneous	Gladiolus unguiculatus	1007850.0
western buttercup	Western buttercup	Plant ID:286952	Miscellaneous	Ranunculus occidentalis	286952.0
	Coptidium pallasii	Plant ID:286956	Miscellaneous	Coptidium pallasii	286956.0
robusta coffee	Robusta coffee	Plant ID:49390	Miscellaneous	Coffea canephora	49390.0
	Salix caprea	Plant ID:172267	Miscellaneous	Salix caprea	172267.0
	Suaeda japonica	Plant ID:90346	Miscellaneous	Suaeda japonica	90346.0
peavine clover; rotklee; red clover; purple clover	Peavine clover	Plant ID:57577	Herbs and Spices	Trifolium pratense	57577.0
	Acacia dealbata	Plant ID:205042	Miscellaneous	Acacia dealbata	205042.0
	Acacia decurrens	Plant ID:205044	Miscellaneous	Acacia decurrens	205044.0
	Prunus cocomilia	Plant ID:114936	Miscellaneous	Prunus cocomilia	114936.0
blackthorn	Blackthorn	Plant ID:114937	Miscellaneous	Prunus spinosa	114937.0
figwort	Figwort	Plant ID:90363	Miscellaneous	Scrophularia nodosa	90363.0
coralberry; indian currant	Coralberry	Plant ID:105885	Miscellaneous	Symphoricarpos orbiculatus	105885.0
	Carya aquatica	Plant ID:1040642	Miscellaneous	Carya aquatica	1040642.0
	Acacia podalyriifolia	Plant ID:205059	Miscellaneous	Acacia podalyriifolia	205059.0
	Oxalis oregana	Plant ID:467202	Miscellaneous	Oxalis oregana	467202.0
	Quercus emoryi	Plant ID:1040643	Miscellaneous	Quercus emoryi	1040643.0
	Ranunculus reptans	Plant ID:286986	Miscellaneous	Ranunculus reptans	286986.0
white horehound	White horehound	Plant ID:41230	Herbs and Spices	Marrubium vulgare	41230.0
	Passiflora antioquiensis	Plant ID:237839	Miscellaneous	Passiflora antioquiensis	237839.0
	Coprosma propinqua	Plant ID:450832	Miscellaneous	Coprosma propinqua	450832.0
	Coprosma repens	Plant ID:450833	Miscellaneous	Coprosma repens	450833.0
	Jatropha curcas	Plant ID:180498	Vegetable	Jatropha curcas	180498.0
	Lysimachia fortunei	Plant ID:213267	Miscellaneous	Lysimachia fortunei	213267.0
tall yellow sweet clover	Tall yellow sweet clover	Plant ID:1155344	Miscellaneous	Melilotus altissimus	1155344.0
	Sison segetum	Plant ID:1155348	Miscellaneous	Sison segetum	1155348.0
	Rheum tataricum	Plant ID:205071	Miscellaneous	Rheum tataricum	205071.0
sour dock; garden sorrel	Sour dock	Plant ID:41241	Miscellaneous	Rumex acetosa	41241.0
	Rosa obtusifolia	Plant ID:1155355	Miscellaneous	Rosa obtusifolia	1155355.0
deccan gra; deccan gras; millet rice; deccan grass; shama millet; corn panic gras; corn panic gra; jungle rice; corn panic grass	Deccan gra	Plant ID:90396	Miscellaneous	Echinochloa colona	90396.0
cockspur gras; barnyard gra; cockspur grass; cockspur gra; barnyard gras; barnyard grass	Cockspur gras	Plant ID:90397	Miscellaneous	Echinochloa crus-galli	90397.0
	Hosta sieboldii	Plant ID:82205	Miscellaneous	Hosta sieboldii	82205.0
	Lepidium oleraceum	Plant ID:106783	Miscellaneous	Lepidium oleraceum	106783.0
	Epilobium glabellum	Plant ID:426272	Miscellaneous	Epilobium glabellum	426272.0
	Gagea lutea	Plant ID:82209	Miscellaneous	Gagea lutea	82209.0
	Passiflora herbertiana	Plant ID:237855	Miscellaneous	Passiflora herbertiana	237855.0
